codigo_api,endpoint_consultado,fecha_hora_descarga_utc,parametros_consulta,total_registros_descargados,total_registros_validos,errores,variable,proveedor,url_indicador
NV.IND.MANF.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NV.IND.MANF.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:01.445364+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,468,,manufacturing_va_pct_gdp,World Bank,https://data.worldbank.org/indicator/NV.IND.MANF.ZS
NV.SRV.TOTL.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NV.SRV.TOTL.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:01.858390+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,468,,services_va_pct_gdp,World Bank,https://data.worldbank.org/indicator/NV.SRV.TOTL.ZS
SL.TLF.0714.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/SL.TLF.0714.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:02.268848+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,83,,child_employment_pct_7to14,World Bank / ILO,https://data.worldbank.org/indicator/SL.TLF.0714.ZS
EG.FEC.RNEW.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EG.FEC.RNEW.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:02.678667+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,440,,renewable_energy_pct_final_energy,World Bank / IEA / Sustainable Energy for All,https://data.worldbank.org/indicator/EG.FEC.RNEW.ZS
EG.ELC.RNEW.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EG.ELC.RNEW.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:03.088758+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,423,,renewable_electricity_output_pct,World Bank / IEA,https://data.worldbank.org/indicator/EG.ELC.RNEW.ZS
GB.XPD.RSDV.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GB.XPD.RSDV.GD.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:03.499832+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,315,,rd_expenditure_pct_gdp,World Bank / UNESCO,https://data.worldbank.org/indicator/GB.XPD.RSDV.GD.ZS
FX.OWN.TOTL.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/FX.OWN.TOTL.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:03.870758+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,74,,account_ownership_pct_adults,World Bank,https://data.worldbank.org/indicator/FX.OWN.TOTL.ZS
FS.AST.PRVT.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/FS.AST.PRVT.GD.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:04.267646+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,416,,domestic_credit_private_pct_gdp,World Bank / FMI,https://data.worldbank.org/indicator/FS.AST.PRVT.GD.ZS
GOV_WGI_VA.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_VA.EST?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:04.729850+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_voice_accountability_est,World Bank,https://www.worldbank.org/en/publication/worldwide-governance-indicators
GOV_WGI_GE.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_GE.EST?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:05.134558+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_government_effectiveness_est,World Bank,https://www.worldbank.org/en/publication/worldwide-governance-indicators
GOV_WGI_RL.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_RL.EST?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:05.548866+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_rule_of_law_est,World Bank,https://www.worldbank.org/en/publication/worldwide-governance-indicators
GOV_WGI_CC.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_CC.EST?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:06.038549+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_control_corruption_est,World Bank,https://www.worldbank.org/en/publication/worldwide-governance-indicators
GOV_WGI_RQ.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_RQ.EST?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:06.406008+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_regulatory_quality_est,World Bank,https://www.worldbank.org/en/publication/worldwide-governance-indicators
GOV_WGI_PV.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_PV.EST?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:06.817235+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_political_stability_est,World Bank,https://www.worldbank.org/en/publication/worldwide-governance-indicators
GC.TAX.TOTL.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GC.TAX.TOTL.GD.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:07.183475+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,322,,tax_revenue_pct_gdp,World Bank / FMI,https://data.worldbank.org/indicator/GC.TAX.TOTL.GD.ZS
NY.GDP.TOTL.RT.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NY.GDP.TOTL.RT.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:07.594672+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,432,,natural_resources_rents_pct_gdp,World Bank,https://data.worldbank.org/indicator/NY.GDP.TOTL.RT.ZS
SL.EMP.VULN.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/SL.EMP.VULN.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:08.005988+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,vulnerable_employment_pct_total,World Bank / ILO,https://data.worldbank.org/indicator/SL.EMP.VULN.ZS
CM.MKT.LCAP.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/CM.MKT.LCAP.GD.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T02:03:08.414617+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,183,,stock_market_cap_pct_gdp,World Bank / World Federation of Exchanges,https://data.worldbank.org/indicator/CM.MKT.LCAP.GD.ZS
