codigo_provincia,provincia,codigo_canton,canton,anio,vab,participacion_provincial,vab_group,num_emp,ventas_totales,empleo_prom,plazas
01,AZUAY,0106,Pucará,2018,19.513870000000004,0.41956137780075436,Bajo,265,6274474,405,456
01,AZUAY,0106,Pucará,2019,23.673309999999994,0.5085203692176855,Bajo,275,11168983,442,464
01,AZUAY,0106,Pucará,2020,23.14593,0.5523477005547252,Bajo,276,9282724,433,465
01,AZUAY,0106,Pucará,2021,25.329320000000003,0.5499090439483648,Bajo,275,9657325,413,497
01,AZUAY,0106,Pucará,2022,23.95617,0.47118030184029436,Bajo,234,3806887,388,427
01,AZUAY,0106,Pucará,2023,28.267060000000004,0.5688927645332006,Bajo,265,8200350,434,469
01,AZUAY,0106,Pucará,2024,17.15743,0.32183688885028694,Bajo,261,6918346,420,463
01,AZUAY,0107,San Fernando,2015,7.607869833578356,0.17669532339936778,Bajo,261,1237430,208,206
01,AZUAY,0107,San Fernando,2016,6.905274350143867,0.160582089324829,Bajo,272,1188431,209,206
01,AZUAY,0107,San Fernando,2017,6.748298916900602,0.14652219630026006,Bajo,270,1263838,210,215
01,AZUAY,0107,San Fernando,2018,6.40191,0.13764538659714484,Bajo,270,1249684,208,207
01,AZUAY,0107,San Fernando,2019,7.432930000000002,0.15966488454589634,Bajo,272,1262628,220,202
01,AZUAY,0107,San Fernando,2020,8.21229,0.19597568547855124,Bajo,259,997273,202,206
01,AZUAY,0107,San Fernando,2021,6.846540000000001,0.1486409530833926,Bajo,265,1336141,204,215
01,AZUAY,0107,San Fernando,2022,7.843190000000001,0.1542632495758203,Bajo,264,1279295,210,205
01,AZUAY,0107,San Fernando,2023,5.832020000000002,0.11737315379147732,Bajo,256,1006010,196,200
01,AZUAY,0107,San Fernando,2024,8.37749,0.15714389147875818,Bajo,271,1448190,209,211
01,AZUAY,0108,Santa Isabel,2015,37.38173440822568,0.8682032940860623,Medio,1388,48598286,2169,2253
01,AZUAY,0108,Santa Isabel,2016,37.91795558327684,0.8817816963871683,Medio,1340,44523476,2191,2192
01,AZUAY,0108,Santa Isabel,2017,42.31508365482492,0.9187647242783669,Medio,1415,50630680,2236,2322
01,AZUAY,0108,Santa Isabel,2018,48.356579999999994,1.0396991130171718,Medio,1354,46620751,2186,2202
01,AZUAY,0108,Santa Isabel,2019,50.67821,1.0886057784269039,Medio,1385,53937532,2270,2419
