codigo_provincia,provincia,codigo_canton,canton,anio,vab,participacion_provincial
01,AZUAY,0101,Cuenca,2007,1968.338784984955,84.39341012673636
01,AZUAY,0101,Cuenca,2008,2242.683432128813,84.83068657593964
01,AZUAY,0101,Cuenca,2009,2388.1466031869954,85.69258007862294
01,AZUAY,0101,Cuenca,2010,2635.2829245378657,86.53768625500136
01,AZUAY,0101,Cuenca,2011,2881.0198307301653,86.46689014381548
01,AZUAY,0101,Cuenca,2012,3027.1950783437305,86.99737606469306
01,AZUAY,0101,Cuenca,2013,3368.263442940266,88.34657178808324
01,AZUAY,0101,Cuenca,2014,3467.1305095346524,88.22874165912192
01,AZUAY,0101,Cuenca,2015,3768.547845559982,87.52578512558664
01,AZUAY,0101,Cuenca,2016,3763.837890107637,87.52801433021239
01,AZUAY,0101,Cuenca,2017,4035.9975865722863,87.63145170794022
01,AZUAY,0101,Cuenca,2018,3997.61996,85.9515277257354
01,AZUAY,0101,Cuenca,2019,3924.2377200000005,84.29555538589108
01,AZUAY,0101,Cuenca,2020,3488.7119500000003,83.2536011074211
01,AZUAY,0101,Cuenca,2021,3757.9798400000004,81.58715279334893
01,AZUAY,0101,Cuenca,2022,4174.47089,82.10529704763833
01,AZUAY,0101,Cuenca,2023,4139.07493,83.30154531591765
01,AZUAY,0101,Cuenca,2024,4557.407629999999,85.48727244475187
01,AZUAY,0102,Girón,2007,19.551693783625893,0.8382876589847382
01,AZUAY,0102,Girón,2008,20.29136385381796,0.7675315662575039
01,AZUAY,0102,Girón,2009,21.589436891731225,0.7746821519366297
01,AZUAY,0102,Girón,2010,23.391888693584587,0.7681451983119888
01,AZUAY,0102,Girón,2011,19.868786475398963,0.5963139021586815
01,AZUAY,0102,Girón,2012,20.522078517203198,0.5897759926879615
01,AZUAY,0102,Girón,2013,21.498575665738834,0.563888630022583
01,AZUAY,0102,Girón,2014,23.011627149289872,0.5855813334189233
01,AZUAY,0102,Girón,2015,22.98271560345471,0.5337812626899358
01,AZUAY,0102,Girón,2016,23.009286787075023,0.5350807453531095
01,AZUAY,0102,Girón,2017,24.01925119111433,0.521517123255426
01,AZUAY,0102,Girón,2018,20.64174,0.44381134416724827
01,AZUAY,0102,Girón,2019,24.15174,0.5187974027311579
01,AZUAY,0102,Girón,2020,20.60122,0.4916214857481214
01,AZUAY,0102,Girón,2021,21.31083,0.46266611780522066
01,AZUAY,0102,Girón,2022,24.35896,0.4791025495860005
01,AZUAY,0102,Girón,2023,20.4875,0.41232411553850823
01,AZUAY,0102,Girón,2024,25.07995,0.470446510958853
01,AZUAY,0103,Gualaceo,2007,66.54637635909197,2.853205797376963
01,AZUAY,0103,Gualaceo,2008,70.54044030640608,2.668229450859836
01,AZUAY,0103,Gualaceo,2009,67.83944052270701,2.4342461562967355
01,AZUAY,0103,Gualaceo,2010,66.43048196088878,2.1814508613749872
01,AZUAY,0103,Gualaceo,2011,66.79296895795272,2.0046305296700666
01,AZUAY,0103,Gualaceo,2012,70.51658600479105,2.0265486011603815
01,AZUAY,0103,Gualaceo,2013,75.97097715542944,1.9926515549549928
01,AZUAY,0103,Gualaceo,2014,77.60922402896257,1.9749369567675399
01,AZUAY,0103,Gualaceo,2015,84.88434620704665,1.9714673532398481
01,AZUAY,0103,Gualaceo,2016,77.71334334110907,1.8072230601341828
01,AZUAY,0103,Gualaceo,2017,82.99601759898837,1.802048032034135
01,AZUAY,0103,Gualaceo,2018,94.3896,2.029440117519594
01,AZUAY,0103,Gualaceo,2019,101.92595,2.1894454863668567
01,AZUAY,0103,Gualaceo,2020,95.37825000000001,2.2760786484031414
01,AZUAY,0103,Gualaceo,2021,109.26994999999998,2.3722916263360254
01,AZUAY,0103,Gualaceo,2022,120.88867000000003,2.3776905915958917
01,AZUAY,0103,Gualaceo,2023,113.86847999999998,2.29167640286586
01,AZUAY,0103,Gualaceo,2024,133.23928999999998,2.4992856486211013
01,AZUAY,0104,Nabón,2007,22.050830300034537,0.9454392604269615
01,AZUAY,0104,Nabón,2008,19.565038324045005,0.7400579190696854
01,AZUAY,0104,Nabón,2009,20.724961259253188,0.7436626377814756
01,AZUAY,0104,Nabón,2010,19.071574046119366,0.6262742705250623
01,AZUAY,0104,Nabón,2011,16.345770530885577,0.49057904070444935
01,AZUAY,0104,Nabón,2012,16.494697707692897,0.4740346698550787
01,AZUAY,0104,Nabón,2013,16.281235222754198,0.42704240353305173
01,AZUAY,0104,Nabón,2014,16.33727328682122,0.41573775785869843
01,AZUAY,0104,Nabón,2015,18.95929741352277,0.4403360285058299
01,AZUAY,0104,Nabón,2016,19.65349009881003,0.45704172529017634
01,AZUAY,0104,Nabón,2017,21.593044146712714,0.46883819050474695
01,AZUAY,0104,Nabón,2018,21.181189999999997,0.4554098833219427
01,AZUAY,0104,Nabón,2019,23.091829999999998,0.49602974478482426
01,AZUAY,0104,Nabón,2020,24.12572,0.5757291224084383
01,AZUAY,0104,Nabón,2021,23.402620000000006,0.5080796638080645
01,AZUAY,0104,Nabón,2022,25.904480000000007,0.5095005046890163
01,AZUAY,0104,Nabón,2023,23.033720000000002,0.46356843082668203
01,AZUAY,0104,Nabón,2024,31.194220000000005,0.5851372096468642
01,AZUAY,0105,Paute,2007,51.069209497041136,2.189615311555706
01,AZUAY,0105,Paute,2008,58.336461048296606,2.206607482911713
01,AZUAY,0105,Paute,2009,65.33663264937843,2.3444392475330926
01,AZUAY,0105,Paute,2010,68.05550293111045,2.234813463761788
01,AZUAY,0105,Paute,2011,72.08620053419112,2.163494161334963
01,AZUAY,0105,Paute,2012,70.99064155228686,2.040172298237615
01,AZUAY,0105,Paute,2013,68.87574730927531,1.8065499499068383
01,AZUAY,0105,Paute,2014,65.84367854322875,1.6755368418065422
01,AZUAY,0105,Paute,2015,66.7898828040202,1.5512173841059806
01,AZUAY,0105,Paute,2016,65.10101493447165,1.5139234830150592
01,AZUAY,0105,Paute,2017,65.33629287104624,1.4186118972304746
01,AZUAY,0105,Paute,2018,77.74043999999999,1.6714719385358654
01,AZUAY,0105,Paute,2019,88.45680999999999,1.9001183054257587
01,AZUAY,0105,Paute,2020,78.04188,1.8623685876941563
01,AZUAY,0105,Paute,2021,73.73266999999998,1.600763939476475
01,AZUAY,0105,Paute,2022,74.60309,1.4673258064381178
01,AZUAY,0105,Paute,2023,62.63786000000001,1.2606272226345288
01,AZUAY,0105,Paute,2024,79.13286000000002,1.4843641191148862
01,AZUAY,0106,Pucará,2007,11.584420872471183,0.4966872518231958
01,AZUAY,0106,Pucará,2008,11.287877793518028,0.42696994568711727
01,AZUAY,0106,Pucará,2009,11.152327966566705,0.4001729860565235
01,AZUAY,0106,Pucará,2010,10.975415708806466,0.36041180712824833
01,AZUAY,0106,Pucará,2011,11.732645401737301,0.35212717046492875
01,AZUAY,0106,Pucará,2012,11.172975899030728,0.32109578698890767
01,AZUAY,0106,Pucará,2013,11.582224553803348,0.3037915086935896
01,AZUAY,0106,Pucará,2014,11.608863510375024,0.29541299838475216
01,AZUAY,0106,Pucará,2015,11.68037318649642,0.27128057692366564
01,AZUAY,0106,Pucará,2016,11.04299006182106,0.25680462883905586
01,AZUAY,0106,Pucará,2017,11.470359348027856,0.24904976272126442
01,AZUAY,0106,Pucará,2018,19.513870000000004,0.41956137780075436
01,AZUAY,0106,Pucará,2019,23.673309999999994,0.5085203692176855
01,AZUAY,0106,Pucará,2020,23.14593,0.5523477005547252
01,AZUAY,0106,Pucará,2021,25.329320000000003,0.5499090439483648
01,AZUAY,0106,Pucará,2022,23.95617,0.47118030184029436
01,AZUAY,0106,Pucará,2023,28.267060000000004,0.5688927645332006
01,AZUAY,0106,Pucará,2024,17.15743,0.32183688885028694
