iso2,year,indice_riesgo_climatico,PIBpc,renta_rec_nat,impuestos_ambientales,protec_der_lab
AR,1990,,4315.334031115882,2.54133379153863,35.25110753910691,
AR,1991,,5709.247840795045,1.11216953670952,30.30038615773058,
AR,1992,,6789.996111364947,1.09688763068098,34.72388046403051,
AR,1993,,6931.855963758755,1.09534038350252,38.74272786037492,
AR,1994,,7437.562423275942,1.03761625538356,41.87006734314532,
AR,1995,,7357.616277378798,1.29807343639538,40.1140203331299,
AR,1996,,7663.212712874685,1.59598410207505,33.35865390127845,
AR,1997,,8146.787100214308,1.42473252510187,39.29078992756123,
AR,1998,,8218.992127646823,0.821860211536179,36.306161789089145,
AR,1999,,7705.5428825285135,1.4005641030747,27.195730506816577,
AR,2000,,7637.014892036284,2.36414526373118,33.03178865990966,
AR,2001,,7141.475076628263,1.91854085449722,41.61724382722896,
AR,2002,,2569.699635191236,5.63090239331634,43.240245848354114,
AR,2003,,3320.477751339027,4.54405237920157,37.88123941092142,
AR,2004,,4242.020990894215,4.29522015828479,31.518902262687103,
AR,2005,,5067.653422932756,5.18727382834912,33.72057029942611,
AR,2006,,5869.380289702044,5.77560944191323,34.739686541377246,
AR,2007,,7185.251551470267,4.83861569507875,29.226791140076617,
AR,2008,,8944.1102657357,4.94937994883837,27.450146399074853,
AR,2009,,8150.235270282207,3.09834695426024,30.495398371857323,
AR,2010,,10260.13131082542,3.25709519384359,28.633480141253028,
AR,2011,,12704.283181968423,3.88650404225898,26.389827498339848,
AR,2012,,12949.717486654019,3.62564790864033,24.283996530891237,
AR,2013,,12963.67577332604,3.15558730477948,26.367384399176867,
AR,2014,,12233.144411918582,2.96561619466374,25.67168918138783,
AR,2015,,13679.626498095417,1.11677493458146,24.420524314698824,
AR,2016,,12699.962313775635,0.929681521135013,22.73758320880315,
AR,2017,,14532.500930851062,1.02056616793198,24.52249320260361,
AR,2018,,11752.799892297908,2.0371251352841,25.037881471389646,
AR,2019,,9955.974786804276,2.16668838721926,26.509913654114865,
AR,2020,,8535.59938004389,1.42962432529499,27.262449323032207,
AR,2021,,10738.017922338438,2.65308888983975,25.536111346855638,
AR,2022,,13962.189408722319,,,
AR,2023,,14261.84656679479,,,
AR,2024,,13969.78366037374,,,
AR,2025,,,,,
BO,1990,,682.6768102953798,7.28776717511939,50.26959767731232,
BO,1991,,733.9354876025193,3.86536252330757,58.87521968365553,
BO,1992,,759.5711349636497,3.83579549195986,54.14593698175788,
BO,1993,,756.6370160484508,3.64155613379886,58.279894379479444,
BO,1994,,774.0356696443179,4.41108909617144,48.1586402266289,
BO,1995,,852.7540348614444,5.11080000814782,43.32560450480292,
BO,1996,,922.1132590697141,4.73280305606934,45.460160592958616,
BO,1997,,970.3518433685936,4.01382529219893,46.4573732718894,
BO,1998,,1022.1450651954493,2.23594806398861,43.288409703504044,
BO,1999,,979.3444949645719,2.77497627522259,47.35892811131151,
BO,2000,,975.7770603587506,4.61282788346862,49.768814432989686,
BO,2001,,930.1682272143125,4.33368686543391,54.26274805325295,
BO,2002,,888.2213289743515,4.94485124710044,53.023894862604536,
BO,2003,,893.0137602111491,5.31627802754268,46.05955392044148,
BO,2004,,953.1918932462771,7.4299811875095,48.45947136563877,
BO,2005,,1020.1232620073686,11.5452208680479,41.02625686952982,
BO,2006,,1202.7115044632694,14.6334565247073,43.97728178557194,
BO,2007,,1354.5490594992878,13.9849345825977,43.91159207630228,
BO,2008,,1692.6724845587646,12.7766867611472,40.53818977119785,
BO,2009,,1731.181721122093,7.44851742232197,38.779775280898875,
BO,2010,,1929.783730771584,9.16161212209317,34.369959526307895,
BO,2011,,2315.5212193060715,14.001095606139,34.73415765069552,
BO,2012,,2575.598570980836,12.3531411069095,33.321097216619606,
BO,2013,,2870.0237700075613,11.9598682861297,34.132176575657056,
