iso2,year,innovacion_financiera_access
NI,2003,0.0
NI,2004,0.0
NI,2005,0.0
NI,2006,0.0
NI,2007,0.0
NI,2008,0.0
NI,2009,0.0
NI,2010,0.0
NI,2011,0.0
NI,2012,0.0
NI,2013,0.0
NI,2014,0.0
NI,2015,0.0
NI,2016,0.0
NI,2017,0.0
NI,2018,0.0
NI,2019,0.0
NI,2020,0.0
GT,1980,0.025
GT,1981,0.026
GT,1982,0.027
GT,1983,0.03
GT,1984,0.032
GT,1985,0.03
GT,1986,0.023
GT,1987,0.026
GT,1988,0.025
GT,1989,0.024
GT,1990,0.022
GT,1991,0.02
GT,1992,0.016
GT,1993,0.014
GT,1994,0.014
GT,1995,0.014
GT,1996,0.014
GT,1997,0.014
GT,1998,0.012
GT,1999,0.012
GT,2000,0.012
GT,2001,0.012
GT,2002,0.012
GT,2003,0.012
GT,2004,0.01
GT,2005,0.01
GT,2006,0.01
GT,2007,0.01
GT,2008,0.01
GT,2009,0.01
GT,2010,0.01
GT,2011,0.01
GT,2012,0.008
GT,2013,0.024
GT,2014,0.008
GT,2015,0.008
GT,2016,0.008
GT,2017,0.007
GT,2018,0.007
GT,2019,0.007
GT,2020,0.02
HT,1980,0.0
HT,1981,0.0
HT,1982,0.0
HT,1983,0.0
HT,1984,0.0
HT,1985,0.0
HT,1986,0.0
HT,1987,0.0
HT,1988,0.0
HT,1989,0.0
HT,1990,0.0
HT,1991,0.0
HT,1992,0.0
HT,1993,0.0
HT,1994,0.0
HT,1995,0.0
HT,1996,0.0
HT,1997,0.0
HT,1998,0.0
HT,1999,0.0
HT,2000,0.0
HT,2001,0.0
HT,2002,0.0
HT,2003,0.0
HT,2004,0.0
HT,2005,0.0
HT,2006,0.0
HT,2007,0.0
HT,2008,0.0
HT,2009,0.0
HT,2010,0.0
HT,2011,0.0
HT,2012,0.0
HT,2013,0.0
HT,2014,0.0
HT,2015,0.0
HT,2016,0.0
HT,2017,0.0
HT,2018,0.0
HT,2019,0.0
HT,2020,0.0
HN,1980,0.013
HN,1981,0.014
HN,1982,0.015
HN,1983,0.015
HN,1984,0.015
HN,1985,0.016
HN,1986,0.016
HN,1987,0.017
HN,1988,0.016
HN,1989,0.015
HN,1990,0.013
HN,1991,0.012
HN,1992,0.013
HN,1993,0.012
HN,1994,0.012
HN,1995,0.012
HN,1996,0.013
HN,1997,0.015
HN,1998,0.014
HN,1999,0.017
HN,2000,0.016
HN,2001,0.018
HN,2002,0.018
HN,2003,0.018
HN,2004,0.017
HN,2005,0.017
HN,2006,0.016
HN,2007,0.016
HN,2008,0.015
HN,2009,0.029
HN,2010,0.014
HN,2011,0.014
HN,2012,0.027
HN,2013,0.013
HN,2014,0.013
HN,2015,0.012
HN,2016,0.012
HN,2017,0.047
HN,2018,0.011
HN,2019,0.011
HN,2020,0.011
MX,1980,0.119
MX,1981,0.149
MX,1982,0.152
MX,1983,0.156
MX,1984,0.159
MX,1985,0.159
MX,1986,0.197
MX,1987,0.197
MX,1988,0.207
MX,1989,0.211
MX,1990,0.237
MX,1991,0.241
MX,1992,0.296
MX,1993,0.31
MX,1994,0.317
MX,1995,0.358
MX,1996,0.388
MX,1997,0.369
MX,1998,0.349
MX,1999,0.38
MX,2000,0.434
MX,2001,0.452
MX,2002,0.41
MX,2003,0.439
MX,2004,0.461
MX,2005,0.471
MX,2006,0.566
MX,2007,0.528
MX,2008,0.518
MX,2009,0.465
MX,2010,0.487
MX,2011,0.476
MX,2012,0.435
MX,2013,0.429
MX,2014,0.422
MX,2015,0.418
MX,2016,0.408
MX,2017,0.415
MX,2018,0.438
MX,2019,0.42
MX,2020,0.387
CR,1980,0.025
CR,1981,0.046
CR,1982,0.047
CR,1983,0.039
CR,1984,0.033
CR,1985,0.033
CR,1986,0.033
CR,1987,0.033
CR,1988,0.033
CR,1989,0.033
CR,1990,0.033
CR,1991,0.033
CR,1992,0.033
CR,1993,0.033
CR,1994,0.033
CR,1995,0.033
CR,1996,0.033
CR,1997,0.033
CR,1998,0.033
CR,1999,0.033
CR,2000,0.033
CR,2001,0.033
CR,2002,0.033
CR,2003,0.026
CR,2004,0.025
CR,2005,0.025
CR,2006,0.025
CR,2007,0.025
CR,2008,0.025
CR,2009,0.025
CR,2010,0.025
CR,2011,0.022
CR,2012,0.022
CR,2013,0.064
CR,2014,0.064
CR,2015,0.064
CR,2016,0.02
CR,2017,0.041
CR,2018,0.02
CR,2019,0.02
CR,2020,0.02
AR,1980,0.247
AR,1981,0.265
AR,1982,0.309
AR,1983,0.28
AR,1984,0.319
AR,1985,0.427
AR,1986,0.374
AR,1987,0.367
AR,1988,0.331
AR,1989,0.325
AR,1990,0.36
AR,1991,0.416
AR,1992,0.45
AR,1993,0.505
