codigo_api,endpoint_consultado,fecha_hora_descarga_utc,parametros_consulta,total_registros_descargados,total_registros_validos,errores,variable,proveedor
AG.LND.FRST.K2,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/AG.LND.FRST.K2?format=json&per_page=1000&date=2000:2023,2026-04-13T03:59:33.593314+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,forest_area_km2,World Bank / FAO
EN.GHG.ALL.LU.MT.CE.AR5,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EN.GHG.ALL.LU.MT.CE.AR5?format=json&per_page=1000&date=2000:2023,2026-04-13T03:59:34.018874+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,ghg_total_incl_lulucf_mt_co2e,World Bank / JRC
NY.GDP.PCAP.KD,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NY.GDP.PCAP.KD?format=json&per_page=1000&date=2000:2023,2026-04-13T03:59:34.440780+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,gdp_per_capita_const2015_usd,World Bank
NE.TRD.GNFS.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/NE.TRD.GNFS.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T03:59:34.838966+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,480,,trade_pct_gdp,World Bank
BX.KLT.DINV.WD.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/BX.KLT.DINV.WD.GD.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T03:59:35.288193+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,456,,fdi_inflows_pct_gdp,World Bank / FMI
EG.FEC.RNEW.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EG.FEC.RNEW.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T03:59:35.693783+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,440,,renewable_energy_pct_final_energy,World Bank / IEA
FS.AST.PRVT.GD.ZS,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/FS.AST.PRVT.GD.ZS?format=json&per_page=1000&date=2000:2023,2026-04-13T03:59:36.102784+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,480,416,,domestic_credit_private_pct_gdp,World Bank / FMI
GOV_WGI_VA.EST,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/GOV_WGI_VA.EST?format=json&per_page=1000&date=2000:2023,2026-04-13T03:59:36.518010+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,460,460,,wgi_voice_accountability_est,World Bank
EN.ATM.CO2E.KT,https://api.worldbank.org/v2/country/AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE/indicator/EN.ATM.CO2E.KT?format=json&per_page=1000&date=2000:2023,2026-04-13T03:59:36.916265+00:00,countries=AR;BO;BR;CL;CO;CR;CU;EC;SV;GT;HT;HN;MX;NI;PA;PY;PE;DO;UY;VE&date=2000:2023&per_page=1000,0,0,,co2_emissions_kt,World Bank
