iso2,pais,year,homicidios_100k,desempleo_total_ne,uso_internet_pct,gasto_militar_pct_pib,remesas_pct_pib
EC,Ecuador,1990,8.51659203032212,5.881,,1.35122222907748,0.334661642323027
EC,Ecuador,1991,10.7733041261241,8.189,0.001,1.27147161976289,0.329634068610317
EC,Ecuador,1992,8.55433754089328,8.56,,1.21330539339896,0.414496590055366
EC,Ecuador,1993,8.30175052181792,7.948,,1.5053435537415,1.07145586660865
EC,Ecuador,1994,10.0156548466405,6.68,,1.31569135777556,1.21640752370137
EC,Ecuador,1995,11.8383919002488,6.701,,1.98760353101763,1.58032917035685
EC,Ecuador,1996,12.3838470232859,10.376,,1.6897249235818,1.93828739681238
EC,Ecuador,1997,10.9429833738619,9.169,,1.8110665611487,2.2999743640501
EC,Ecuador,1998,13.409254126692,11.492,,2.01895367462851,2.85441691630399
EC,Ecuador,1999,13.4875122235591,13.961,,1.55598240646013,5.54596528218095
EC,Ecuador,2000,14.4453488439446,4.8,,1.51733948117752,7.53900859835198
EC,Ecuador,2001,12.8420209514706,4.252,,1.66039298461832,6.14240830281378
EC,Ecuador,2002,14.5070142098716,7.168,,1.86662346180863,5.31534116234239
EC,Ecuador,2003,14.49,5.662,,2.38654946619875,5.27503980472213
EC,Ecuador,2004,17.58,5.002,,2.01733501271599,5.22245926639398
EC,Ecuador,2005,15.34,3.779,,2.36848865849083,6.10742377469624
EC,Ecuador,2006,16.96,3.55,,2.07919490158198,6.42101090681869
EC,Ecuador,2007,15.8631866106051,3.142,,2.62795079870115,6.70295541841078
EC,Ecuador,2008,17.886543943386,3.917,,2.6922066648737,5.05178528024742
EC,Ecuador,2009,17.705436773059,4.608,,3.24319951406484,4.5635031450049
EC,Ecuador,2010,17.4043449177688,4.088,,3.07257396611835,3.81361167392642
EC,Ecuador,2011,15.2875203821371,3.458,,3.10647440690889,3.39373350415588
EC,Ecuador,2012,12.3425125579607,3.235,,2.95181465866835,2.82239084408483
EC,Ecuador,2013,10.9127986726241,2.913,,2.83298697009902,2.54612673206732
EC,Ecuador,2014,8.16956550602398,3.279,,2.71279094772759,2.40703123870624
EC,Ecuador,2015,6.45509329915208,3.419,,2.6720726618256,2.45609170654041
EC,Ecuador,2016,5.81031174018927,4.39,,2.57311675623471,2.67435295214931
EC,Ecuador,2017,5.78775543057783,3.708,,2.35738419773924,2.72722996049999
EC,Ecuador,2018,5.8300670929869,3.396,,2.37199911152844,2.82760317052208
EC,Ecuador,2019,6.84543557226847,3.703,,2.18038189769994,3.0137639320716
EC,Ecuador,2020,7.81941728300383,6.084,,2.45792351121034,3.48790451754192
EC,Ecuador,2021,14.1156873894402,4.434,,2.24210709535338,4.07490158068369
EC,Ecuador,2022,27.4126359684417,3.672,,2.21851529975547,4.08839477102189
EC,Ecuador,2023,45.7228145164847,3.462,,2.2651385614971,4.50067266318947
