"COUNTRY.ID","COUNTRY","COUNTRY.Description","INDICATOR.ID","INDICATOR","INDICATOR.Description","FREQUENCY.ID","FREQUENCY","FREQUENCY.Description","TIME_PERIOD","OBS_VALUE","SCALE.ID","SCALE","SCALE.Description"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1997","0.014","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1998","0.013","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1999","0.013","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2000","0.014","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2001","0.014","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2002","0.014","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2003","0.014","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2004","0.014","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2005","0.014","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2006","0.024","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2007","0.012","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2008","0.012","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2009","0.012","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2010","0.012","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2011","0.012","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2012","0.012","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2013","0.021","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2014","0.011","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2015","0.021","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2016","0.010","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2017","0.020","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2018","0.030","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2019","0.020","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"DOM","Dominican Republic","","FMA_IX","Financial Markets Access Index","Evaluates the accessibility of financial markets, including stock and bond markets, measuring the ease of market participation, the diversity of financial products available, and the inclusiveness of market infrastructure. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","2020","0.020","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1980","0.274","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1981","0.282","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1982","0.371","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1983","0.363","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1984","0.381","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1985","0.356","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1986","0.357","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1987","0.356","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
"CHL","Chile","","FD_IX","Financial Development Index","Measures the overall level of development in a country's financial sector by assessing the depth, access, and efficiency of both financial institutions and financial markets. A statistical measure that expresses the relative change in a variable over time.","A","Annual","To be used for data collected or disseminated every year.","1988","0.348","0","Units","In scientific notation, expressed as ten raised to the power of zero (10^0)"
