anio,trimestre,afiliados_iess,ln_afiliados_iess,fuerza_laboral,ln_fuerza_laboral,tasa_subempleo,ln_tasa_subempleo,sbu,ln_sbu,num_pensionistas,ln_num_pensionistas,tasa_dependencia,ln_tasa_dependencia,gasto_salud_pib,ln_gasto_salud_pib,precio_petroleo_wti,ln_precio_petroleo_wti,dln_afiliados_iess,dln_fuerza_laboral,dln_tasa_subempleo,dln_sbu,dln_num_pensionistas,dln_tasa_dependencia,dln_gasto_salud_pib,dln_precio_petroleo_wti,remesas_pib,matricula_superior,gdp_pc_ppp,embi_ecuador,ln_remesas_pib,dln_remesas_pib,ln_matricula_superior,dln_matricula_superior,ln_gdp_pc_ppp,dln_gdp_pc_ppp,ln_embi_ecuador,dln_embi_ecuador
2000,1,1292712.0,14.072252895125217,5202036.0,15.464560645382013,55.4,4.014579593753238,57.0,4.04305126783455,215000.0,12.2783933071098,66.93487107,4.203720073038949,3.57367969,1.2735957904489563,30.3,3.4111477125153233,,,,,,,,,8.07104254267958,38.18714735924227,9234.104598652912,11036.81516150249,2.0882826613826837,,3.642499002433982,,9.130658930558866,,9.30899179646426,
2000,2,1304847.0269931236,14.081596371173124,5238517.874831892,15.47154916797357,55.73717401807524,4.020647321415752,69.01658196447733,4.234346794051194,216841.33432350287,12.286921186848714,66.75534926882887,4.201034432928272,3.689863835773437,1.3055895564971745,28.823603331410176,3.3611946116042963,0.009343476047906307,0.006988522591557356,0.006067727662514066,0.1912955262166438,0.008527879738913668,-0.0026856401106769567,0.03199376604821813,-0.049953100911027004,7.719826444422406,38.18717170650358,9188.592734464797,7508.019190127401,2.043791882491542,-0.0444907788911415,3.6424996400111573,6.375771754996151e-07,9.12571807353324,-0.004940857025625078,8.923726953660433,-0.3852648428038279
2000,3,1315221.5167078387,14.089515663177478,5279392.997764118,15.47932168652907,55.58035909603948,4.017829885179407,78.266603305498,4.360120989730538,218927.25747497423,12.296494795973548,66.57721515741483,4.1983624042582095,3.803586788050799,1.3359445131391026,27.60783308702139,3.318099539958149,0.007919292004354261,0.007772518555499985,-0.0028174362363451166,0.12577419567934367,0.009573609124833737,-0.002672028670062332,0.03035495664192811,-0.04309507164614734,7.356485004821636,38.18718495881038,9187.50445414865,4907.456193049822,1.9955822377960948,-0.04820964469544742,3.6424999870466643,3.4703550699788366e-07,9.12559962832627,-0.00011844520697046335,8.498510999579919,-0.4252159540805138
2000,4,1323815.4273213772,14.09602860041487,5323372.468720613,15.487617583165557,55.0386742770499,4.008036106798846,85.24061776485028,4.445478054562792,221217.0853578219,12.306899785058999,66.40016582802643,4.195699553889306,3.9205108714791894,1.366221969667826,26.655565028601057,3.282997947896651,0.0065129372373924355,0.008295896636486333,-0.009793778380561058,0.08535706483225436,0.010404989085451177,-0.0026628503689032357,0.03027745652872338,-0.0351015920614981,6.991622926885106,38.18718958170809,9221.945254561067,3102.4632870925275,1.944712707677764,-0.05086953011833084,3.642500108105534,1.2105886959545842e-07,9.12934127635357,0.0037416480272991492,8.039951683678378,-0.45855931590154064
2001,1,1330608.717010972,14.10114707745663,5369167.387625312,15.496183405604384,54.2212386042637,3.9930726878572504,90.42917908432246,4.5045669927981296,223670.1338754538,12.31792762884419,66.22389837293231,4.193041400409468,4.046298410705711,1.3978024905255058,25.969674917916606,3.2569295079958724,0.005118477041760272,0.008565822438827198,-0.014963418941595474,0.05908893823533745,0.011027843785191394,-0.002658153479837999,0.03158052085767982,-0.02606843990077845,6.635844913620658,38.187188040742186,9283.020632558659,1960.3775890782927,1.8924860015940825,-0.05222670608368141,3.6425000677525787,-4.035295519955184e-08,9.135942272015006,0.006600995661436571,7.580892381159343,-0.4590593025190355
2001,2,1335581.3439538553,14.10487721866556,5415488.854402151,15.504773712163695,53.23717112083804,3.9747568576456165,94.32284100570273,4.546723376701091,226245.71893127778,12.329376939532446,66.048109884401,4.190383414122858,4.186611730377468,1.4318917505607252,25.553038516735445,3.2407562339128435,0.0037301412089298935,0.008590306559311145,-0.018315830211633966,0.04215638390296128,0.011449310688256276,-0.002657986286609848,0.03408926003521939,-0.016173274083028932,6.299755668036125,38.18718280145811,9361.836084998025,1348.536215829893,1.8405108497940041,-0.05197515180007839,3.6424999305525203,-1.3720005842543515e-07,9.144396713161346,0.00845444114633942,7.206774998600244,-0.3741173825590991
2001,3,1338713.26632726,14.107219461583153,5461047.968975063,15.513151265013505,52.19559086993014,3.9549980252278396,97.41215727077946,4.5789510208345225,228903.15642870186,12.34105429539867,65.87249745470109,4.187721016837465,4.347113155141563,1.469511982296243,25.408531586825006,3.235085006871406,0.00234224291759233,0.008377552849809788,-0.019758832417776873,0.03222764413343171,0.011677355866224204,-0.0026623972853938582,0.03762023173551787,-0.005671227041437632,5.993959893139352,38.187176329401304,9449.497108735766,1134.2762841701065,1.790752277704143,-0.04975857208986123,3.642499761070069,-1.6948245118442173e-07,9.153716803064968,0.009320089903622986,7.033750091447373,-0.1730249071528709
2001,4,1339984.4423084192,14.108168561642097,5504555.83126799,15.521086640282103,51.2056168946972,3.9358492310028663,100.18768162134084,4.60704524318251,231601.76227113383,12.35277463376746,65.69675817610117,4.185049581443657,4.5334650096451,1.5114865498973054,25.53902988995271,3.240207865934383,0.000949100058944552,0.007935375268598222,-0.019148794224973287,0.02809422234798742,0.011720338368789385,-0.002671435393807542,0.04197456760106233,0.00512285906297727,5.729062291938173,38.18717109011722,9537.109200628489,1184.9349109217073,1.7455518684583002,-0.045200409245842676,3.642499623869968,-1.372001010579993e-07,9.162945699720813,0.00922889665584492,7.077443124568432,0.04369303312105899
2002,1,1339374.8300745646,14.10771351834077,5544723.54120486,15.52835732021167,50.376368238296386,3.919522180955985,103.13996779917517,4.6360869764177535,234300.8523619816,12.364361262397855,65.5205891408698,4.182364431275905,4.751329618535182,1.5584244985679598,25.947409187885974,3.2560717660105802,-0.0004550433013275068,0.007270679929566981,-0.016327050046881286,0.029041733235243505,0.011586628630395168,-0.0026851501677516154,0.046937948670654484,0.01586390007619709,5.515667567440426,38.187169549151314,9615.77785753279,1367.8492129074725,1.70759269115344,-0.0379591773048602,3.6424995835169938,-4.035297429538787e-08,9.171160555170045,0.008214855449232061,7.22099486762449,0.143551743056058
2002,2,1337010.580415278,14.105946769601966,5580787.472061652,15.53484044842582,49.80269944775319,3.9080691883397036,106.7047423747057,4.6700656031935495,236964.710164397,12.375666506770298,65.34367243134254,4.1796606095421005,5.003896444888608,1.6102168979238263,26.63653007424493,3.282283584720316,-0.0017667487388042247,0.006483128214149758,-0.01145299261628141,0.033978626775795995,0.011305244372442402,-0.002703821733804901,0.051792399355866436,0.026211818709735546,5.3643804226539515,38.18717417204903,9676.608576305278,1550.3563069501774,1.6797808843539075,-0.027811806799532546,3.642499704575912,1.210589184452715e-07,9.177466765194959,0.0063062100249133834,7.346240058947706,0.12524519132321643
2002,3,1334337.4757041903,14.103945453751587,5616725.463146528,15.541259394255743,49.45070425705656,3.9009762997682493,110.82282546696273,4.707932759116376,239602.45963400565,12.386736410755072,65.1655546402336,4.1769310262674715,5.272033261385286,1.662416106244281,27.609116224881344,3.3181460161896745,-0.00200131585037866,0.006418945829922862,-0.007092888571454292,0.03786715592282697,0.011069903984774143,-0.0027295832746290216,0.05219920832045477,0.035862431469358746,5.284904255186748,38.18718711616264,9711.31563431262,1604.0714827697514,1.664854502826357,-0.014926381527550436,3.6425000435408053,3.3896489304297006e-07,9.181047044827206,0.003580279632247496,7.380300352751256,0.03406029380354969
2002,4,1333501.3148436316,14.103318608613192,5659030.528936942,15.54876315086836,49.218173474997286,3.896262934867538,115.17250733412546,4.746431068166468,242247.01097576672,12.397713191083565,64.985710487944,4.1741674070805646,5.524766996324619,1.7092410739035981,28.86781868575382,3.3627274343864304,-0.0006268451383952822,0.007503756612617707,-0.00471336490071117,0.03849830905009188,0.010976780328492808,-0.0027636191869069293,0.046824967659317096,0.04458141819675587,5.266212438450529,38.18720345040124,9725.615260652978,1499.0080067206425,1.6613114017815993,-0.003543101044757746,3.642500471282054,4.277412486430876e-07,9.18251843236236,0.0014713875351528571,7.31255883946301,-0.06774151328824551
2003,1,1336654.3240927965,14.105680276726222,5714218.777548454,15.558468149025268,49.00227077192447,3.891866639321029,119.42966775828626,4.782727643781517,244931.4927933581,12.408733829173952,64.80361403496327,4.171361373947516,5.7310158586697195,1.745892802738991,30.41528783595354,3.4149453713462856,0.002361668113030291,0.009704998156907507,-0.004396295546509332,0.036296575615049065,0.011020638090387891,-0.0028060331330488353,0.036651728835392916,0.052217936959855216,5.276548321660721,38.18721115523077,9739.225636156016,1303.5771217918173,1.6632721569873343,0.001960755205735021,3.6425006730467304,2.017646765217762e-07,9.18391689000127,0.0013984576389116654,7.172867396787784,-0.13969144267522626
2003,2,1345792.824845536,14.112493858205971,5788064.717911754,15.571308548065566,48.705463869684664,3.8857912182445946,123.29025948821779,4.8145414085762575,247687.5371996349,12.419923300120557,64.61876110029257,4.168504788134147,5.861751940587459,1.768448524878057,32.25516808128006,3.473678280985356,0.006813581479748976,0.012840399040298323,-0.006075421076434218,0.031813764794740074,0.011189470946604274,-0.002856585813368895,0.02255572213906598,0.058732909639070296,5.283253948632913,38.187197902923984,9772.473722161461,1090.4682438693962,1.6645421860469483,0.0012700290596139308,3.642500326011462,-3.4703526852197797e-07,9.187324908705854,0.003408018704583071,6.994362464511016,-0.178504932276768
2003,3,1360658.8245954989,14.123479570263607,5875619.669869302,15.586322088154759,48.30691467790415,3.8775747114451766,126.7404813000156,4.8421415414265505,250525.13772641373,12.431314544677557,64.43096212117943,4.165594295852645,5.9176455572314905,1.777938659861233,34.40547700454085,3.538215766954231,0.010985712057635766,0.015013540089192645,-0.008216506799417989,0.027600132850293058,0.011391244557000135,-0.002910492281501753,0.009490134983175968,0.06453748596887499,5.255291667611456,38.187152598526346,9844.867222194394,930.2971597508877,1.6592355056643207,-0.005306680382627604,3.6424991396341677,-1.1863772941822504e-06,9.194705504155909,0.007380595450054983,6.835504061723403,-0.15885840278761343
